구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1,2019-10-02,2019-10-03,경기도,연천군,신서면,도밀리,944,38.264123,127.077756,폐사체,,,POINT (127.077756 38.264123),경기도 연천군
2,2019-10-11,2019-10-12,경기도,연천군,왕징면,강서리,986,38.090774,126.938503,수렵개체,,,POINT (126.938503 38.090774),경기도 연천군
3,2019-10-11,2019-10-12,강원도,철원군,원남면,진현리,115,38.303126,127.600284,폐사체,,,POINT (127.600284 38.303126),강원도 철원군
4,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,25,38.309478,127.602335,폐사체,,,POINT (127.602335 38.309478),강원도 철원군
5,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,21,38.310692,127.604746,폐사체,,,POINT (127.604746 38.310692),강원도 철원군
6,2019-10-14,2019-10-15,경기도,연천군,장남면,판부리,150-2,37.997654,126.868309,폐사체,,,POINT (126.868309 37.997654),경기도 연천군
7,2019-10-15,2019-10-16,강원도,철원군,원남면,죽대리,산157,38.305629,127.613226,폐사체,,,POINT (127.613226 38.305629),강원도 철원군
8,2019-10-16,2019-10-17,경기도,연천군,왕징면,강서리,1106,38.091466,126.938031,폐사체,,,POINT (126.938031 38.091466),경기도 연천군
9,2019-10-16,2019-10-17,경기도,파주시,장단면,거곡리,1066,37.872669,126.722001,폐사체,,,POINT (126.722001 37.872669),경기도 파주시
10,2019-10-19,2019-10-20,경기도,연천군,연천읍,와초리,615,38.161863,127.073799,폐사체,,,POINT (127.073799 38.161863),경기도 연천군
11,2019-10-20,2019-10-21,경기도,연천군,장남면,반정리,652-1,37.977525,126.820542,폐사체,,,POINT (126.820542 37.977525),경기도 연천군
12,2019-10-19,2019-10-21,강원도,철원군,원남면,죽대리,164,38.305278,127.610155,폐사체,,,POINT (127.610155 38.305278),강원도 철원군
13,2019-10-23,2019-10-23,경기도,파주시,장단면,석곶리,303,37.860881,126.718336,폐사체,,,POINT (126.718336 37.860881),경기도 파주시
